model,embedding_dim,margin,lam,lr,loss,hits,hit_rate,full_hr,figname
HyperCML,256,0.2,1,0.01,2.097350597381592,1211,0.49489170412750305,0.0641601961585615,0
HyperCML,256,0.2,1,0.001,2.089510440826416,1241,0.5071516142214957,0.04577033101757254,1
HyperCML,256,0.3,1,0.01,2.1552443504333496,1273,0.5202288516550878,0.07355946056395586,2
HyperCML,256,0.3,1,0.001,2.1507155895233154,1204,0.49203105843890477,0.039640375970576215,3
HyperCML,256,0.4,1,0.01,2.2096738815307617,1292,0.5279934613812832,0.06824683285655905,4
HyperCML,256,0.4,1,0.001,2.23970365524292,1064,0.43481814466693913,0.022067838169186758,5
HyperCML,256,0.5,1,0.01,2.2521238327026367,1367,0.5586432366162648,0.06824683285655905,6
HyperCML,256,0.5,1,0.001,2.302626609802246,1052,0.42991418062934206,0.022476501838986515,7
HyperCML,256,0.6,1,0.01,2.270583391189575,1344,0.5492439722108704,0.0551695954229669,8
HyperCML,256,0.6,1,0.001,2.3626275062561035,1074,0.43890478136493666,0.017572537801389457,9
HyperCML,256,0.7,1,0.01,2.4144816398620605,1061,0.43359215365753984,0.02125051082958725,10
HyperCML,256,0.7,1,0.001,2.4239561557769775,1052,0.42991418062934206,0.02043318348998774,11
HyperCML,256,0.8,1,0.01,2.474245548248291,1070,0.4372701266857376,0.022067838169186758,12
HyperCML,256,0.8,1,0.001,2.4856348037719727,1049,0.42868818961994276,0.01798120147118921,13
